timestamp,pod,scheduling_time_ms,podautoscaler,reconcile_time_ms
2026-06-02T15:43:08.299356406Z,,,default/linpack-00001,34.24055
2026-06-02T15:43:08.305747823Z,,,default/matrixmul-00001,36.937406
2026-06-02T15:43:08.330401785Z,,,default/linpack-00001,30.986823
2026-06-02T15:43:08.346667086Z,,,default/matrixmul-00001,40.855134
2026-06-02T15:43:08.36771221Z,,,default/matrixmul-00001,20.978753
2026-06-02T15:43:10.222118638Z,,,default/linpack-00001,8.166956
2026-06-02T15:43:10.224373031Z,,,default/linpack-00001,1.463595
2026-06-02T15:43:16.287627901Z,,,default/matrixmul-00001,21.891606
2026-06-02T15:43:18.28896575Z,,,default/matrixmul-00001,23.482404
2026-06-02T15:43:18.817080133Z,,,default/matrixmul-00001,9.197773
2026-06-02T15:43:20.29130736Z,,,default/matrixmul-00001,25.567353
2026-06-02T15:43:20.316890786Z,,,default/matrixmul-00001,25.5395
2026-06-02T15:43:20.328702452Z,,,default/matrixmul-00001,11.740776
2026-06-02T15:43:20.350441261Z,,,default/matrixmul-00001,21.674013
2026-06-02T15:43:20.351522133Z,,,default/matrixmul-00001,1.016224
2026-06-02T15:43:21.703419331Z,,,default/matrixmul-00001,8.675068
2026-06-02T15:43:26.290783201Z,,,default/fastfouriertransform-00001,24.852314
2026-06-02T15:43:27.648881464Z,,,default/fastfouriertransform-00001,9.609143
2026-06-02T15:44:10.289570791Z,,,default/linpack-00001,24.752777
2026-06-02T15:44:10.301103771Z,,,default/linpack-00001,11.449017
2026-06-02T15:44:22.289114215Z,,,default/matrixmul-00001,22.352695
2026-06-02T15:44:22.303373988Z,,,default/matrixmul-00001,12.181014
2026-06-02T15:44:22.33440192Z,,,default/matrixmul-00001,30.974025
2026-06-02T15:44:24.297334211Z,,,default/matrixmul-00001,31.596562
2026-06-02T15:44:24.308219669Z,,,default/matrixmul-00001,10.823755
2026-06-02T15:44:26.297420555Z,,,default/fastfouriertransform-00001,30.944692
2026-06-02T15:44:26.331390579Z,,,default/fastfouriertransform-00001,33.892487
2026-06-02T15:44:38.286332868Z,,,default/matrixmul-00001,20.661956
2026-06-02T15:44:38.287736071Z,,,default/genmatrix-00001,23.408899
2026-06-02T15:44:38.298332068Z,,,default/linpack-00001,11.948515
2026-06-02T15:44:38.301064456Z,,,default/fastfouriertransform-00001,13.289792
2026-06-02T15:44:38.312565266Z,,,default/fetchdata-00001,14.173088
2026-06-02T15:44:38.33897648Z,,,default/matrixmul-00001,37.861931
2026-06-02T15:44:38.360525028Z,,,default/genmatrix-00001,47.899983
2026-06-02T15:44:38.390145758Z,,,default/linpack-00001,51.139205
2026-06-02T15:44:38.415517602Z,,,default/fastfouriertransform-00001,54.960351
2026-06-02T15:44:38.443670444Z,,,default/fetchdata-00001,53.489537
2026-06-02T15:44:38.470743027Z,,,default/matrixmul-00001,55.184759
2026-06-02T15:44:38.485714226Z,,,default/genmatrix-00001,42.010523
2026-06-02T15:44:38.496501037Z,,,default/linpack-00001,25.713676
2026-06-02T15:44:38.508263292Z,,,default/fastfouriertransform-00001,22.501474
2026-06-02T15:44:38.519832307Z,,,default/fetchdata-00001,23.283455
2026-06-02T15:44:38.523996953Z,,,default/matrixmul-00001,15.691513
2026-06-02T15:44:38.536393097Z,,,default/genmatrix-00001,16.515106
2026-06-02T15:44:38.540333651Z,,,default/linpack-00001,16.312662
2026-06-02T15:44:38.553080499Z,,,default/fastfouriertransform-00001,16.651754
2026-06-02T15:44:38.557239034Z,,,default/fetchdata-00001,16.881142
2026-06-02T15:44:40.221163728Z,,,default/linpack-00001,15.214088
2026-06-02T15:44:40.83223656Z,,,default/linpack-00001,21.38427
2026-06-02T15:44:40.862950234Z,,,default/linpack-00001,16.844587
2026-06-02T15:44:41.283371983Z,,,default/genmatrix-00001,17.496198
2026-06-02T15:44:41.283611723Z,,,default/matrixmul-00001,17.352272
2026-06-02T15:44:41.30662466Z,,,default/fastfouriertransform-00001,18.408845
2026-06-02T15:44:41.307485827Z,,,default/linpack-00001,19.688105
2026-06-02T15:44:41.323733877Z,,,default/fetchdata-00001,17.086642
2026-06-02T15:44:41.391407595Z,,,default/linpack-00001,17.042513
2026-06-02T15:44:41.410412848Z,,,default/linpack-00001,18.96905
2026-06-02T15:44:41.446389317Z,,,default/linpack-00001,19.229845
2026-06-02T15:44:41.464995367Z,,,default/linpack-00001,18.58229
2026-06-02T15:44:47.458646589Z,,,default/fastfouriertransform-00001,17.932865
2026-06-02T15:44:48.780878934Z,,,default/matrixmul-00001,19.806438
2026-06-02T15:44:50.312295479Z,,,default/matrixmul-00001,17.166939
2026-06-02T15:44:51.704462999Z,,,default/matrixmul-00001,18.349235
2026-06-02T15:44:52.81378624Z,,,default/matrixmul-00001,19.412921
2026-06-02T15:44:52.834550752Z,,,default/matrixmul-00001,20.733383
2026-06-02T15:44:52.950105273Z,,,default/matrixmul-00001,18.821679
2026-06-02T15:44:52.972219099Z,,,default/matrixmul-00001,22.076493
2026-06-02T15:44:53.166605745Z,,,default/matrixmul-00001,16.621421
2026-06-02T15:44:53.18632948Z,,,default/matrixmul-00001,19.563272
2026-06-02T15:44:54.790560783Z,,,default/matrixmul-00001,18.988754
2026-06-02T15:44:55.470243307Z,,,default/matrixmul-00001,19.278939
2026-06-02T15:44:55.488258561Z,,,default/matrixmul-00001,17.984958
2026-06-02T15:44:56.799277774Z,,,default/fastfouriertransform-00001,20.976586
2026-06-02T15:44:57.634235072Z,,,default/fastfouriertransform-00001,17.071514
2026-06-02T15:44:57.653751455Z,,,default/fastfouriertransform-00001,19.476958
2026-06-02T15:44:58.729521132Z,,,default/fetchdata-00001,16.863236
2026-06-02T15:44:59.302852211Z,,,default/genmatrix-00001,16.412606
2026-06-02T15:44:59.430805768Z,,,default/matrixmul-00001,16.414662
2026-06-02T15:45:01.459716817Z,,,default/fastfouriertransform-00001,18.48818
