index,function,size,latency_ms,execution_time_sec,type,status
995,fastfouriertransform,medium,642.4,0.628158,warm,200
996,matrixmul,medium,551.1,0.537602,warm,200
997,mobilenet,medium,29.5,0.023907,warm,200
998,linpack,small,12.7,0.005102,warm,200
999,mobilenet,large,29.2,0.022947,warm,200
1000,mobilenet,medium,29.1,0.022574,warm,200
1001,pagerank,medium,123.5,0.048282,warm,200
1002,fastfouriertransform,large,28.1,0.007895,warm,200
1003,matrixmul,small,24.5,0.008022,warm,200
1004,matrixmul,large,24.5,0.008086,warm,200
1005,fetchdata,large,126.9,0.121866,warm,200
1006,grayscale,medium,97.6,0.086684,warm,200
1007,fastfouriertransform,small,21.4,0.007899,warm,200
1008,linpack,large,12.0,0.005111,warm,200
1009,grayscale,medium,67.9,0.05755,warm,200
1010,mobilenet,large,25.0,0.019154,warm,200
1011,matrixmul,small,59.5,0.005028,warm,200
1012,mobilenet,medium,21.9,0.017654,warm,200
1013,mobilenet,small,23.0,0.01815,warm,200
1014,linpack,large,14.8,0.007541,warm,200
1015,matrixmul,medium,547.5,0.534107,warm,200
1016,graphgen,small,39.7,0.004301,warm,200
1017,matrixmul,medium,524.8,0.511127,warm,200
1018,pagerank,large,368.4,0.286042,warm,200
1019,fetchdata,small,88.8,0.083563,warm,200
1020,fetchdata,large,80.6,0.075878,warm,200
1021,mobilenet,small,26.4,0.017664,warm,200
1022,fetchdata,small,79.6,0.075508,warm,200
1023,genmatrix,large,53.8,0.001249,warm,200
1024,linpack,medium,701.3,0.693393,warm,200
1025,matrixmul,large,22.4,0.007033,warm,200
1026,graphgen,large,566.0,0.098977,warm,200
1027,fetchdata,large,88.2,0.083585,warm,200
1028,mobilenet,medium,25.9,0.017817,warm,200
1029,linpack,medium,720.6,0.712838,warm,200
1030,fastfouriertransform,large,22.5,0.005049,warm,200
1031,fetchdata,large,79.1,0.074765,warm,200
1032,linpack,medium,658.4,0.650682,warm,200
1033,linpack,large,12.0,0.005089,warm,200
1034,grayscale,small,12.1,0.006869,warm,200
1035,fastfouriertransform,small,21.7,0.007831,warm,200
1036,fetchdata,medium,149.8,0.145265,warm,200
1037,pagerank,medium,67.8,0.046624,warm,200
1038,pagerank,small,19.7,0.010708,warm,200
1039,grayscale,medium,95.1,0.083279,warm,200
1040,mobilenet,small,23.0,0.018345,warm,200
1041,resnet,medium,2375.0,0.151589,cold,200
1042,mobilenet,small,22.5,0.017932,warm,200
1043,fastfouriertransform,small,21.7,0.007936,warm,200
1044,fastfouriertransform,medium,644.2,0.630194,warm,200
1045,fetchdata,large,97.8,0.092595,warm,200
1046,mobilenet,small,27.6,0.02289,warm,200
1047,linpack,large,15.8,0.008104,warm,200
1048,linpack,large,15.0,0.008017,warm,200
1049,fastfouriertransform,large,21.4,0.004984,warm,200
1050,pagerank,medium,138.3,0.049999,warm,200
1051,grayscale,small,17.1,0.010756,warm,200
1052,fetchdata,medium,80.2,0.075336,warm,200
1053,pagerank,small,25.0,0.013279,warm,200
1054,fastfouriertransform,small,21.8,0.008018,warm,200
1055,fetchdata,small,87.3,0.082066,warm,200
1056,mobilenet,small,47.2,0.040465,warm,200
1057,linpack,large,13.4,0.005126,warm,200
1058,resnet,medium,152.9,0.147119,warm,200
1059,mobilenet,large,23.7,0.018687,warm,200
1060,fetchdata,large,80.8,0.075942,warm,200
1061,fastfouriertransform,small,21.5,0.007773,warm,200
1062,grayscale,medium,69.1,0.057464,warm,200
1063,mobilenet,large,29.7,0.024718,warm,200
1064,matrixmul,medium,527.4,0.51451,warm,200
1065,resnet,small,151.0,0.145539,warm,200
1066,fetchdata,medium,79.7,0.075409,warm,200
1067,fastfouriertransform,medium,619.5,0.602468,warm,200
1068,mobilenet,large,26.3,0.018979,warm,200
1069,pagerank,medium,95.2,0.067286,warm,200
1070,fetchdata,large,126.1,0.121927,warm,200
1071,resnet,small,126.7,0.120916,warm,200
1072,fetchdata,medium,89.0,0.083822,warm,200
1073,pagerank,small,19.2,0.010866,warm,200
1074,fastfouriertransform,large,20.9,0.00733,warm,200
1075,fetchdata,medium,94.9,0.087931,warm,200
1076,fetchdata,small,78.7,0.07478,warm,200
1077,linpack,large,15.0,0.008117,warm,200
1078,genmatrix,medium,10.2,0.000201,warm,200
1079,pagerank,medium,94.1,0.067551,warm,200
1080,fastfouriertransform,medium,657.7,0.64358,warm,200
1081,genmatrix,large,54.3,0.001217,warm,200
1082,pagerank,medium,116.5,0.091044,warm,200
1083,fetchdata,large,88.2,0.083366,warm,200
