entity_id,state,last_changed
sensor.bandeau_d_alimentation_antela_puissance,68.0,2026-07-24T08:26:21.534Z
sensor.bandeau_d_alimentation_antela_puissance,69.1,2026-07-24T08:26:26.423Z
sensor.bandeau_d_alimentation_antela_puissance,66.0,2026-07-24T08:26:31.386Z
sensor.bandeau_d_alimentation_antela_puissance,68.4,2026-07-24T08:26:36.472Z
sensor.bandeau_d_alimentation_antela_puissance,68.2,2026-07-24T08:26:41.567Z
sensor.bandeau_d_alimentation_antela_puissance,67.5,2026-07-24T08:26:46.499Z
sensor.bandeau_d_alimentation_antela_puissance,66.1,2026-07-24T08:26:51.457Z
sensor.bandeau_d_alimentation_antela_puissance,67.0,2026-07-24T08:26:56.370Z
sensor.bandeau_d_alimentation_antela_puissance,66.3,2026-07-24T08:27:01.451Z
sensor.bandeau_d_alimentation_antela_puissance,68.3,2026-07-24T08:27:06.418Z
sensor.bandeau_d_alimentation_antela_puissance,67.4,2026-07-24T08:27:11.546Z
sensor.bandeau_d_alimentation_antela_puissance,70.3,2026-07-24T08:27:16.432Z
sensor.bandeau_d_alimentation_antela_puissance,67.1,2026-07-24T08:27:21.555Z
sensor.bandeau_d_alimentation_antela_puissance,69.5,2026-07-24T08:27:26.470Z
sensor.bandeau_d_alimentation_antela_puissance,66.9,2026-07-24T08:27:31.593Z
sensor.bandeau_d_alimentation_antela_puissance,68.3,2026-07-24T08:27:36.549Z
sensor.bandeau_d_alimentation_antela_puissance,68.1,2026-07-24T08:27:41.573Z
sensor.bandeau_d_alimentation_antela_puissance,67.9,2026-07-24T08:27:46.567Z
sensor.bandeau_d_alimentation_antela_puissance,65.8,2026-07-24T08:27:51.481Z
sensor.bandeau_d_alimentation_antela_puissance,67.7,2026-07-24T08:27:56.452Z
sensor.bandeau_d_alimentation_antela_puissance,66.5,2026-07-24T08:28:01.526Z
sensor.bandeau_d_alimentation_antela_puissance,65.8,2026-07-24T08:28:06.502Z
sensor.bandeau_d_alimentation_antela_puissance,66.9,2026-07-24T08:28:11.585Z
sensor.bandeau_d_alimentation_antela_puissance,67.1,2026-07-24T08:28:16.703Z
sensor.bandeau_d_alimentation_antela_puissance,66.5,2026-07-24T08:28:21.592Z
sensor.bandeau_d_alimentation_antela_puissance,70.1,2026-07-24T08:28:26.549Z
sensor.bandeau_d_alimentation_antela_puissance,67.6,2026-07-24T08:28:31.491Z
sensor.bandeau_d_alimentation_antela_puissance,67.5,2026-07-24T08:28:36.562Z
sensor.bandeau_d_alimentation_antela_puissance,66.6,2026-07-24T08:28:41.560Z
sensor.bandeau_d_alimentation_antela_puissance,67.0,2026-07-24T08:28:46.684Z
sensor.bandeau_d_alimentation_antela_puissance,66.2,2026-07-24T08:28:51.610Z
sensor.bandeau_d_alimentation_antela_puissance,65.8,2026-07-24T08:28:56.591Z
sensor.bandeau_d_alimentation_antela_puissance,65.2,2026-07-24T08:29:01.674Z
sensor.bandeau_d_alimentation_antela_puissance,64.6,2026-07-24T08:29:06.584Z
sensor.bandeau_d_alimentation_antela_puissance,63.8,2026-07-24T08:29:11.585Z
sensor.bandeau_d_alimentation_antela_puissance,65.3,2026-07-24T08:29:16.502Z
sensor.bandeau_d_alimentation_antela_puissance,64.9,2026-07-24T08:29:21.587Z
sensor.bandeau_d_alimentation_antela_puissance,65.3,2026-07-24T08:29:26.527Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-24T08:29:31.628Z
sensor.bandeau_d_alimentation_antela_puissance,64.5,2026-07-24T08:29:36.711Z
sensor.bandeau_d_alimentation_antela_puissance,64.9,2026-07-24T08:29:41.695Z
sensor.bandeau_d_alimentation_antela_puissance,64.7,2026-07-24T08:29:46.749Z
sensor.bandeau_d_alimentation_antela_puissance,66.9,2026-07-24T08:29:51.571Z
sensor.bandeau_d_alimentation_antela_puissance,64.6,2026-07-24T08:29:56.681Z
sensor.bandeau_d_alimentation_antela_puissance,63.6,2026-07-24T08:30:01.645Z
sensor.bandeau_d_alimentation_antela_puissance,63.3,2026-07-24T08:30:06.723Z
sensor.bandeau_d_alimentation_antela_puissance,63.2,2026-07-24T08:30:11.661Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-24T08:30:16.663Z
sensor.bandeau_d_alimentation_antela_puissance,71.5,2026-07-24T08:30:21.710Z
sensor.bandeau_d_alimentation_antela_puissance,64.3,2026-07-24T08:30:53.098Z
sensor.bandeau_d_alimentation_antela_puissance,64.1,2026-07-24T08:30:58.192Z
sensor.bandeau_d_alimentation_antela_puissance,64.5,2026-07-24T08:31:03.087Z
sensor.bandeau_d_alimentation_antela_puissance,64.8,2026-07-24T08:31:08.066Z
sensor.bandeau_d_alimentation_antela_puissance,63.0,2026-07-24T08:31:13.002Z
sensor.bandeau_d_alimentation_antela_puissance,63.3,2026-07-24T08:31:18.047Z
sensor.bandeau_d_alimentation_antela_puissance,65.0,2026-07-24T08:31:22.963Z
sensor.bandeau_d_alimentation_antela_puissance,63.7,2026-07-24T08:31:28.090Z
sensor.bandeau_d_alimentation_antela_puissance,63.9,2026-07-24T08:31:33.027Z
sensor.bandeau_d_alimentation_antela_puissance,65.3,2026-07-24T08:31:38.128Z
sensor.bandeau_d_alimentation_antela_puissance,63.5,2026-07-24T08:31:43.057Z
sensor.bandeau_d_alimentation_antela_puissance,63.4,2026-07-24T08:31:48.181Z
sensor.bandeau_d_alimentation_antela_puissance,64.5,2026-07-24T08:31:53.121Z
sensor.bandeau_d_alimentation_antela_puissance,64.0,2026-07-24T08:31:58.019Z
sensor.bandeau_d_alimentation_antela_puissance,63.7,2026-07-24T08:32:03.174Z
