index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,in_flight
739,739,resnet,small,warm,200,132.3,132.29,0.0,120.44,11.85,1
740,740,mobilenet,large,warm,200,30.63,30.63,0.0,17.69,12.93,2
741,741,mobilenet,large,warm,200,38.5,38.5,0.0,25.66,12.84,2
742,742,mobilenet,small,warm,200,32.16,32.15,0.01,17.77,14.38,1
743,743,resnet,medium,warm,200,135.06,135.06,0.0,120.78,14.28,1
744,744,resnet,large,warm,200,134.97,134.97,0.0,122.36,12.6,2
745,745,resnet,large,warm,200,134.03,134.02,0.01,120.56,13.46,3
746,746,resnet,small,warm,200,132.7,132.69,0.0,120.84,11.85,3
747,747,resnet,small,warm,200,131.78,131.78,0.0,120.99,10.79,3
748,748,resnet,medium,warm,200,158.04,158.04,0.0,145.27,12.77,3
749,749,resnet,medium,warm,200,133.83,133.82,0.0,119.06,14.76,3
750,750,mobilenet,medium,warm,200,31.67,31.67,0.01,17.47,14.19,3
751,751,mobilenet,medium,warm,200,42.41,42.4,0.01,29.07,13.34,3
752,752,resnet,medium,warm,200,131.81,131.8,0.01,119.46,12.34,1
753,753,mobilenet,small,warm,200,41.7,41.7,0.0,26.66,15.03,2
754,754,resnet,medium,warm,200,179.44,179.43,0.01,168.01,11.43,2
755,755,mobilenet,large,warm,200,30.51,30.5,0.0,17.93,12.57,2
756,756,mobilenet,large,warm,200,65.81,65.81,0.0,49.72,16.08,2
757,757,resnet,medium,warm,200,132.72,132.71,0.0,119.73,12.99,3
758,758,mobilenet,medium,warm,200,29.91,29.91,0.01,17.47,12.44,2
759,759,mobilenet,medium,warm,200,35.72,35.72,0.0,22.14,13.58,2
760,760,resnet,large,warm,200,180.39,180.38,0.0,121.02,59.37,1
761,761,mobilenet,small,warm,200,29.45,29.45,0.0,17.61,11.83,2
762,762,resnet,small,warm,200,132.9,132.9,0.0,120.26,12.64,2
763,763,resnet,large,warm,200,191.25,191.24,0.01,152.53,38.72,3
764,764,mobilenet,large,warm,200,65.85,65.84,0.01,33.37,32.47,3
765,765,mobilenet,small,warm,200,41.18,41.17,0.01,23.02,18.15,3
766,766,mobilenet,large,warm,200,30.97,30.97,0.01,17.94,13.02,2
767,767,resnet,medium,warm,200,143.23,143.23,0.0,118.89,24.35,1
768,768,mobilenet,medium,warm,200,28.9,28.9,0.0,17.86,11.04,2
769,769,resnet,medium,warm,200,154.24,154.24,0.0,143.41,10.83,2
770,770,resnet,medium,warm,200,131.95,131.94,0.01,119.87,12.07,2
771,771,resnet,large,warm,200,137.02,137.02,0.01,120.08,16.94,3
772,772,mobilenet,large,warm,200,53.15,53.14,0.0,39.5,13.64,4
773,773,resnet,small,warm,200,139.58,139.58,0.0,128.87,10.71,2
774,774,resnet,small,warm,200,171.35,171.35,0.0,158.68,12.67,2
775,775,resnet,medium,warm,200,164.11,164.11,0.0,121.11,42.99,3
776,776,resnet,large,warm,200,227.2,227.19,0.01,211.3,15.89,3
777,777,mobilenet,medium,warm,200,108.68,108.67,0.01,77.9,30.77,4
778,778,mobilenet,large,warm,200,31.26,31.26,0.0,18.2,13.06,4
779,779,mobilenet,medium,warm,200,31.27,31.27,0.01,17.47,13.79,3
780,780,resnet,large,warm,200,254.32,254.31,0.0,242.8,11.52,2
781,781,resnet,small,warm,200,131.49,131.48,0.0,119.36,12.12,2
782,782,mobilenet,medium,warm,200,31.25,31.25,0.0,18.32,12.93,3
783,783,resnet,large,warm,200,136.55,136.55,0.0,121.2,15.35,3
784,784,resnet,small,warm,200,137.81,137.81,0.0,120.84,16.97,3
785,785,mobilenet,large,warm,200,31.69,31.68,0.0,19.19,12.49,4
786,786,resnet,large,warm,200,161.88,161.88,0.0,151.38,10.5,2
787,787,resnet,small,warm,200,134.31,134.31,0.0,122.12,12.19,2
788,788,resnet,medium,warm,200,181.03,181.03,0.0,121.0,60.03,3
789,789,mobilenet,small,warm,200,30.16,30.16,0.0,17.9,12.26,4
790,790,resnet,medium,warm,200,154.66,154.66,0.0,121.82,32.84,2
791,791,mobilenet,small,warm,200,38.24,38.23,0.0,23.69,14.54,3
792,792,mobilenet,small,warm,200,30.12,30.12,0.01,18.18,11.93,2
793,793,mobilenet,medium,warm,200,31.93,31.92,0.0,17.74,14.18,2
794,794,mobilenet,large,warm,200,46.97,46.97,0.01,17.9,29.07,1
795,795,mobilenet,large,warm,200,29.56,29.56,0.0,17.77,11.79,1
796,796,resnet,large,warm,200,134.82,134.81,0.0,120.4,14.41,1
797,797,mobilenet,large,warm,200,34.54,34.53,0.0,22.94,11.59,2
798,798,resnet,small,warm,200,137.53,137.52,0.01,119.44,18.08,2
799,799,mobilenet,small,warm,200,32.48,32.47,0.0,19.75,12.72,2
800,800,mobilenet,large,warm,200,29.89,29.88,0.0,17.89,11.99,2
801,801,resnet,small,warm,200,134.41,134.41,0.0,123.7,10.71,1
802,802,resnet,medium,warm,200,145.12,145.11,0.0,134.29,10.82,2
803,803,mobilenet,medium,warm,200,28.83,28.83,0.0,17.76,11.06,3
804,804,resnet,large,warm,200,131.79,131.79,0.0,120.51,11.28,2
805,805,resnet,small,warm,200,137.75,137.75,0.0,120.63,17.12,2
806,806,mobilenet,medium,warm,200,30.22,30.22,0.0,18.27,11.94,3
807,807,resnet,small,warm,200,155.64,155.64,0.0,144.64,11.0,2
808,808,resnet,large,warm,200,184.11,184.1,0.0,121.68,62.43,2
809,809,resnet,medium,warm,200,137.5,137.5,0.0,122.83,14.67,3
810,810,resnet,medium,warm,200,322.98,322.97,0.0,307.02,15.95,4
811,811,resnet,small,warm,200,229.18,229.18,0.0,214.2,14.98,4
812,812,mobilenet,large,warm,200,55.24,55.23,0.0,39.92,15.31,3
813,813,mobilenet,medium,warm,200,66.63,66.62,0.0,54.63,11.99,4
814,814,mobilenet,large,warm,200,46.44,46.44,0.01,22.76,23.68,4
815,815,resnet,medium,warm,200,133.44,133.43,0.01,120.16,13.27,3
816,816,mobilenet,large,warm,200,42.09,42.09,0.0,17.87,24.22,3
817,817,mobilenet,medium,warm,200,44.32,44.32,0.0,30.08,14.24,2
818,818,mobilenet,small,warm,200,35.84,35.83,0.01,22.64,13.2,1
819,819,resnet,medium,warm,200,183.48,183.47,0.0,120.07,63.4,1
820,820,mobilenet,medium,warm,200,39.07,39.07,0.0,23.28,15.8,2
821,821,mobilenet,small,warm,200,33.95,33.94,0.0,22.12,11.82,2
822,822,resnet,medium,warm,200,132.84,132.84,0.0,121.34,11.5,2
823,823,mobilenet,medium,warm,200,30.41,30.41,0.0,17.46,12.95,2
824,824,mobilenet,medium,warm,200,30.78,30.78,0.0,17.99,12.79,2
825,825,resnet,small,warm,200,136.52,136.52,0.0,123.57,12.95,1
826,826,resnet,small,warm,200,138.91,138.9,0.0,126.19,12.71,2
827,827,resnet,small,warm,200,159.85,159.85,0.01,144.96,14.89,3
828,828,mobilenet,medium,warm,200,34.36,34.36,0.0,22.76,11.6,3
829,829,mobilenet,large,warm,200,39.72,39.71,0.01,24.68,15.03,2
830,830,resnet,small,warm,200,132.07,132.06,0.0,119.26,12.8,2
831,831,mobilenet,small,warm,200,32.7,32.7,0.0,20.73,11.97,2
832,832,resnet,medium,warm,200,131.54,131.53,0.01,119.48,12.05,2
833,833,mobilenet,large,warm,200,33.66,33.66,0.0,20.76,12.9,2
834,834,resnet,medium,warm,200,168.59,168.58,0.0,156.12,12.46,2
835,835,mobilenet,small,warm,200,33.85,33.85,0.0,21.44,12.41,2
836,836,mobilenet,medium,warm,200,79.51,79.51,0.01,67.22,12.28,2
837,837,mobilenet,small,warm,200,37.5,37.5,0.0,24.14,13.36,3
