epoch,iso_time,event,from_mode,to_mode,rate
1786960515.418391,2026-08-17T09:55:15.418402+00:00,TRANSITION_END,apiserver,local1core,0.74
1786960654.547397,2026-08-17T09:57:34.547401+00:00,TRANSITION_START,local1core,apiserver,70.12
1786960655.460156,2026-08-17T09:57:35.460179+00:00,TRANSITION_END,local1core,apiserver,70.12
1786960744.918767,2026-08-17T09:59:04.918772+00:00,TRANSITION_START,apiserver,local1core,0.76
1786960745.686579,2026-08-17T09:59:05.686589+00:00,TRANSITION_END,apiserver,local1core,0.76
1786960806.170149,2026-08-17T10:00:06.170155+00:00,TRANSITION_START,local1core,apiserver,81.25
1786960806.899995,2026-08-17T10:00:06.900012+00:00,TRANSITION_END,local1core,apiserver,81.25
1786960882.606550,2026-08-17T10:01:22.606557+00:00,TRANSITION_START,apiserver,local1core,0.00
1786960883.487613,2026-08-17T10:01:23.487626+00:00,TRANSITION_END,apiserver,local1core,0.00
1786961263.363871,2026-08-17T10:07:43.363883+00:00,CONTROLLER_STOP,,local1core,
