function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
merge_aggregate,medium,1.5,256,0.039701,.115290,1080,654,635.135000,18.865000,429.100000,125.204100,303.895900,10
merge_aggregate,large,1.5,256,0.218228,.633707,1080,654,635.135000,18.865000,9665.400000,147.449100,9517.950900,10
single_string,small,1.5,256,0.028827,.009616,875,712,710.868000,1.132000,122.800000,121.502200,1.297800,10
single_string,medium,1.5,256,0.115230,.038225,875,712,710.868000,1.132000,124.000000,116.364200,7.635800,10
single_string,large,1.5,256,0.633647,.209888,875,712,710.868000,1.132000,161.500000,123.971800,37.528200,10
text_data_gen,small,1.5,256,0.000048,.005039,608,661,656.498000,4.502000,142.200000,140.535500,1.664500,10
text_data_gen,medium,1.5,256,0.000049,.019917,608,661,656.498000,4.502000,133.400000,127.910500,5.489500,10
text_data_gen,large,1.5,256,0.000050,.109180,608,661,656.498000,4.502000,158.400000,128.880900,29.519100,10
text_sort,small,1.5,256,0.004988,.024032,698,637,636.727000,.273000,115.000000,114.624400,.375600,10
text_sort,medium,1.5,256,0.019865,.095842,698,637,636.727000,.273000,132.200000,130.928200,1.271800,10
text_sort,large,1.5,256,0.109129,.526713,698,637,636.727000,.273000,152.500000,142.991900,9.508100,10
textsort1,small,1.5,256,0.010007,.010012,624,650,649.472000,.528000,135.000000,134.241000,.759000,10
textsort1,medium,1.5,256,0.014966,.014972,624,650,649.472000,.528000,130.700000,129.415200,1.284800,10
textsort1,large,1.5,256,0.069516,.069522,624,650,649.472000,.528000,139.100000,131.542300,7.557700,10
trigger,small,1.5,256,0.000046,.005079,719,659,658.677000,.323000,117.300000,116.956600,.343400,10
trigger,medium,1.5,256,0.000047,.019958,719,659,658.677000,.323000,129.600000,128.264800,1.335200,10
trigger,large,1.5,256,0.000048,.109222,719,659,658.677000,.323000,145.100000,136.119500,8.980500,10
aggregate_lines,small,1.5,512,0.010002,.010012,638,647,646.963283538818359375000,.036716461181640625000,139.400000,139.330835,.069165,10
aggregate_lines,medium,1.5,512,0.039779,.039766,638,647,646.963283538818359375000,.036716461181640625000,135.200000,135.101319,.098681,10
aggregate_lines,large,1.5,512,0.218306,.218293,638,647,646.963283538818359375000,.036716461181640625000,139.000000,137.310590,1.689410,10
encrypt,small,1.5,512,0.009564,.012803,700,2489,707.549000,1781.451000,1957.900000,126.967500,1830.932500,10
encrypt,medium,1.5,512,0.038175,.050951,700,2489,707.549000,1781.451000,7505.200000,128.449300,7376.750700,10
encrypt,large,1.5,512,0.209836,.111934,700,2489,707.549000,1781.451000,20454.600000,4029.904200,16424.695800,10
merge_aggregate,small,1.5,512,0.009946,.028887,1048,626,607.387000,18.613000,149.200000,127.752600,21.447400,10
merge_aggregate,medium,1.5,512,0.039701,.115291,1048,626,607.387000,18.613000,439.100000,126.303200,312.796800,10
merge_aggregate,large,1.5,512,0.218228,.633708,1048,626,607.387000,18.613000,9659.700000,136.478100,9523.221900,10
single_string,small,1.5,512,0.028827,.009615,905,615,614.021000,.979000,126.100000,124.956100,1.143900,10
single_string,medium,1.5,512,0.115230,.038225,905,615,614.021000,.979000,126.000000,118.753300,7.246700,10
single_string,large,1.5,512,0.633647,.209887,905,615,614.021000,.979000,160.700000,127.675700,33.024300,10
text_data_gen,small,1.5,512,0.000048,.005038,631,626,624.895000,1.105000,128.700000,127.184800,1.515200,10
text_data_gen,medium,1.5,512,0.000049,.019917,631,626,624.895000,1.105000,127.100000,122.317000,4.783000,10
text_data_gen,large,1.5,512,0.000050,.109180,631,626,624.895000,1.105000,155.800000,130.403900,25.396100,10
text_sort,small,1.5,512,0.004988,.024032,669,652,651.047000,.953000,132.600000,132.136700,.463300,10
text_sort,medium,1.5,512,0.019865,.095842,669,652,651.047000,.953000,139.200000,137.485700,1.714300,10
text_sort,large,1.5,512,0.109129,.526712,669,652,651.047000,.953000,149.400000,141.411300,7.988700,10
textsort1,small,1.5,512,0.010007,.010013,643,639,638.471000,.529000,112.500000,111.795000,.705000,10
