index,request_id,function,size,type,status,latency_ms,ttfb_ms,output_transfer_ms,execution_time_ms,system_overhead_ms,cold_start_server,io_ms,binary_read_ms,json_parsing_ms,parameter_extraction_ms,compute_ms,total_server_ms,in_flight
1870,1870,genmatrix,small,warm,200,10.99,8.17,2.83,0.14,8.03,False,,0.0,0.02,,0.11,0.14,3
1871,1871,linpack,medium,warm,200,698.11,698.11,0.01,679.85,18.25,False,,0.0,0.51,6.33,673.01,679.85,3
1872,1872,fastfouriertransform,medium,cold,200,1611.41,1611.4,0.01,604.82,1006.59,False,,0.0,3.81,0.0,601.0,604.82,4
1873,1873,fetchdata,medium,warm,200,91.37,91.37,0.01,84.48,6.89,False,84.45,0.0,0.02,0.0,,84.48,5
1874,1874,linpack,medium,warm,200,660.53,660.53,0.0,644.49,16.04,False,,0.0,0.37,3.97,640.14,644.49,6
1875,1875,linpack,small,warm,200,617.07,617.07,0.0,5.04,612.02,False,,0.0,0.34,3.96,0.74,5.04,6
1876,1876,matrixmul,medium,warm,200,560.47,554.55,5.93,532.73,21.82,False,,0.0,0.34,4.0,528.38,532.72,7
1877,1877,linpack,medium,warm,200,1043.15,1043.14,0.01,643.41,399.73,False,,0.0,0.33,3.95,639.11,643.4,8
1878,1878,fetchdata,large,warm,200,90.37,90.37,0.01,83.55,6.81,False,83.52,0.0,0.02,0.0,,83.55,9
1879,1879,linpack,small,warm,200,422.97,422.96,0.01,5.04,417.92,False,,0.0,0.35,3.97,0.72,5.04,10
1880,1880,fetchdata,small,warm,200,88.37,88.36,0.01,81.82,6.54,False,81.79,0.0,0.02,0.0,,81.82,10
1881,1881,matrixmul,small,warm,200,31.98,25.54,6.43,4.96,20.58,False,,0.0,0.36,4.01,0.59,4.96,10
1882,1882,fetchdata,large,warm,200,87.57,87.56,0.01,80.71,6.85,False,80.68,0.0,0.02,0.0,,80.71,9
1883,1883,genmatrix,large,warm,200,70.07,46.21,23.86,1.21,45.0,False,,0.0,0.02,,1.18,1.21,10
1884,1884,fastfouriertransform,medium,cold,200,1670.05,1670.04,0.0,654.15,1015.89,False,,0.0,3.81,0.0,650.33,654.15,10
1885,1885,fastfouriertransform,large,cold,200,1624.48,1624.48,0.0,4.86,1619.62,False,,0.0,3.91,0.0,0.93,4.85,9
1886,1886,matrixmul,large,warm,200,32.75,26.13,6.62,7.75,18.38,False,,0.0,0.52,6.35,0.87,7.75,10
1887,1887,genmatrix,small,warm,200,9.87,7.4,2.47,0.12,7.28,False,,0.0,0.02,,0.1,0.12,10
1888,1888,fetchdata,large,warm,200,96.47,96.46,0.01,89.48,6.98,False,89.45,0.0,0.02,0.0,,89.48,6
1889,1889,fetchdata,medium,warm,200,134.64,134.64,0.01,86.26,48.37,False,86.23,0.0,0.03,0.0,,86.26,7
1890,1890,matrixmul,small,warm,200,26.03,19.77,6.25,4.91,14.86,False,,0.0,0.34,4.0,0.57,4.91,7
1891,1891,fetchdata,large,warm,200,116.02,116.01,0.0,80.64,35.37,False,80.61,0.0,0.02,0.0,,80.64,7
1892,1892,genmatrix,small,warm,200,10.35,8.34,2.01,0.14,8.2,False,,0.0,0.02,,0.11,0.14,7
1893,1893,fastfouriertransform,small,cold,200,1232.25,1232.25,0.0,4.89,1227.36,False,,0.0,3.89,0.0,0.99,4.89,6
1894,1894,linpack,medium,warm,200,654.23,654.23,0.01,643.15,11.08,False,,0.0,0.34,4.0,638.8,643.14,6
1895,1895,genmatrix,medium,warm,200,18.78,13.86,4.92,0.3,13.56,False,,0.0,0.03,,0.27,0.3,7
1896,1896,fastfouriertransform,large,cold,200,1089.27,1089.25,0.02,4.87,1084.38,False,,0.0,3.93,0.0,0.93,4.87,7
1897,1897,fastfouriertransform,large,cold,200,1045.74,1045.74,0.0,4.86,1040.87,False,,0.0,3.92,0.01,0.94,4.86,8
1898,1898,fetchdata,large,warm,200,90.69,90.68,0.0,83.88,6.8,False,83.85,0.0,0.02,0.0,,83.88,8
1899,1899,matrixmul,small,warm,200,33.59,27.19,6.4,7.79,19.4,False,,0.0,0.52,6.39,0.87,7.79,9
1900,1900,linpack,large,warm,200,15.21,15.21,0.0,5.07,10.13,False,,0.0,0.33,3.97,0.76,5.07,8
1901,1901,fastfouriertransform,medium,warm,200,1474.49,1474.48,0.01,627.68,846.8,False,,0.0,3.91,0.0,623.75,627.68,8
1902,1902,fetchdata,small,warm,200,88.43,88.42,0.0,82.18,6.24,False,82.16,0.0,0.02,0.0,,82.18,9
1903,1903,genmatrix,medium,warm,200,16.81,12.12,4.7,0.22,11.89,False,,0.0,0.02,,0.2,0.22,10
1904,1904,genmatrix,medium,warm,200,16.35,9.97,6.38,0.21,9.76,False,,0.0,0.02,,0.18,0.21,9
1905,1905,genmatrix,medium,warm,200,16.62,10.54,6.08,0.2,10.34,False,,0.0,0.02,,0.18,0.2,8
1906,1906,matrixmul,medium,warm,200,563.32,559.52,3.8,544.1,15.42,False,,0.0,0.52,6.4,537.17,544.1,8
1907,1907,fetchdata,small,warm,200,91.61,91.6,0.01,84.82,6.78,False,84.79,0.0,0.02,0.0,,84.82,9
1908,1908,fetchdata,small,warm,200,123.92,123.92,0.01,81.97,41.95,False,81.94,0.0,0.02,0.0,,81.97,9
1909,1909,linpack,small,warm,200,17.28,17.28,0.01,5.08,12.2,False,,0.0,0.34,3.99,0.75,5.08,9
1910,1910,fetchdata,small,warm,200,106.45,106.44,0.01,81.74,24.7,False,81.71,0.0,0.02,0.0,,81.74,9
1911,1911,fetchdata,medium,warm,200,140.17,140.16,0.0,80.85,59.32,False,80.82,0.0,0.02,0.0,,80.84,9
1912,1912,matrixmul,medium,warm,200,543.99,538.41,5.58,523.44,14.97,False,,0.0,0.35,3.97,519.12,523.44,10
1913,1913,matrixmul,small,warm,200,30.86,26.31,4.54,7.87,18.44,False,,0.0,0.52,6.48,0.87,7.87,10
1914,1914,linpack,medium,warm,200,672.5,672.5,0.01,661.27,11.23,False,,0.0,0.34,3.99,656.93,661.27,9
1915,1915,fetchdata,medium,warm,200,89.06,89.06,0.0,82.48,6.58,False,82.45,0.0,0.02,0.0,,82.48,10
1916,1916,genmatrix,medium,warm,200,19.15,12.94,6.21,0.2,12.74,False,,0.0,0.02,,0.18,0.2,11
1917,1917,genmatrix,small,warm,200,9.63,7.53,2.1,0.11,7.42,False,,0.0,0.02,,0.09,0.11,10
1918,1918,fastfouriertransform,small,warm,200,630.51,630.5,0.01,4.51,625.99,False,,0.0,3.79,0.0,0.71,4.51,4
1919,1919,genmatrix,large,warm,200,47.93,33.2,14.73,0.82,32.38,False,,0.0,0.02,,0.8,0.82,5
1920,1920,linpack,small,warm,200,48.57,48.56,0.01,7.06,41.5,False,,0.0,0.46,5.59,1.01,7.06,5
1921,1921,fetchdata,medium,warm,200,88.03,88.03,0.01,81.1,6.93,False,81.07,0.0,0.02,0.0,,81.1,6
1922,1922,fetchdata,small,warm,200,121.39,121.38,0.0,83.11,38.27,False,83.09,0.0,0.02,0.0,,83.11,6
1923,1923,fetchdata,medium,warm,200,154.5,154.49,0.01,80.92,73.57,False,80.89,0.0,0.02,0.0,,80.92,5
1924,1924,matrixmul,large,warm,200,26.44,20.91,5.53,4.92,15.99,False,,0.0,0.34,4.0,0.58,4.92,6
1925,1925,fastfouriertransform,large,warm,200,287.37,287.33,0.04,4.5,282.84,False,,0.0,3.79,0.0,0.7,4.5,5
1926,1926,genmatrix,medium,warm,200,17.26,11.09,6.17,0.21,10.87,False,,0.0,0.02,,0.19,0.21,6
1927,1927,fetchdata,small,warm,200,88.23,88.23,0.01,81.29,6.94,False,81.26,0.0,0.02,0.0,,81.29,5
1928,1928,matrixmul,medium,warm,200,537.62,532.65,4.97,516.2,16.45,False,,0.0,0.36,4.0,511.83,516.2,5
1929,1929,linpack,large,warm,200,17.29,17.28,0.01,5.07,12.22,False,,0.0,0.34,3.98,0.74,5.06,5
1930,1930,linpack,small,warm,200,17.55,17.54,0.01,5.04,12.5,False,,0.0,0.33,3.97,0.74,5.04,5
1931,1931,fastfouriertransform,medium,warm,200,623.13,623.12,0.01,604.7,18.42,False,,0.0,3.83,0.0,600.87,604.7,2
1932,1932,fastfouriertransform,small,warm,200,580.72,580.71,0.0,4.49,576.22,False,,0.0,3.79,0.0,0.69,4.49,3
1933,1933,fastfouriertransform,small,warm,200,536.91,536.9,0.01,4.54,532.36,False,,0.0,3.83,0.0,0.7,4.54,4
1934,1934,fastfouriertransform,small,warm,200,490.94,490.93,0.01,4.53,486.4,False,,0.0,3.81,0.0,0.71,4.52,5
1935,1935,fetchdata,small,warm,200,92.04,92.03,0.0,84.94,7.09,False,84.91,0.0,0.02,0.0,,84.94,6
1936,1936,matrixmul,medium,warm,200,575.12,568.56,6.57,552.74,15.81,False,,0.0,0.52,6.35,545.87,552.74,7
1937,1937,fastfouriertransform,large,warm,200,346.43,346.42,0.01,4.48,341.94,False,,0.0,3.78,0.0,0.69,4.48,7
1938,1938,linpack,medium,warm,200,656.89,656.88,0.01,644.75,12.13,False,,0.0,0.33,3.96,640.45,644.75,8
1939,1939,fastfouriertransform,small,warm,200,252.25,252.25,0.0,4.49,247.76,False,,0.0,3.79,0.0,0.69,4.49,8
