index,function,size,latency_ms,execution_time_sec,type,status
448,fastfouriertransform,medium,654.3,0.639679,warm,200
449,mobilenet,small,30.5,0.025146,warm,200
450,resnet,large,132.5,0.12668,warm,200
451,graphgen,small,53.3,0.004473,warm,200
452,fetchdata,large,95.4,0.089621,warm,200
453,grayscale,small,19.0,0.01083,warm,200
454,genmatrix,small,8.8,0.000136,warm,200
455,pagerank,medium,66.9,0.045889,warm,200
456,resnet,large,149.0,0.143383,warm,200
457,resnet,small,124.8,0.119618,warm,200
458,pagerank,medium,117.4,0.046553,warm,200
459,mobilenet,medium,28.3,0.022366,warm,200
460,grayscale,large,2831.5,2.719152,cold,200
461,matrixmul,medium,524.8,0.508821,warm,200
462,resnet,large,158.2,0.147839,warm,200
463,graphgen,large,875.3,0.095613,warm,200
464,fastfouriertransform,small,22.8,0.007697,warm,200
465,genmatrix,medium,15.8,0.000284,warm,200
466,fastfouriertransform,small,16.4,0.004913,warm,200
467,genmatrix,small,8.1,0.000135,warm,200
468,pagerank,small,18.2,0.010545,warm,200
469,fetchdata,small,141.9,0.137333,warm,200
470,matrixmul,medium,525.3,0.511216,warm,200
471,resnet,medium,164.8,0.159245,warm,200
472,grayscale,small,13.0,0.006891,warm,200
473,genmatrix,medium,16.7,0.000285,warm,200
474,grayscale,large,2813.4,2.699986,cold,200
475,mobilenet,small,25.4,0.017514,warm,200
476,genmatrix,medium,14.4,0.00028,warm,200
477,resnet,large,141.9,0.136289,warm,200
478,genmatrix,medium,13.9,0.000235,warm,200
479,fastfouriertransform,large,18.9,0.004926,warm,200
480,genmatrix,large,40.4,0.000826,warm,200
481,fetchdata,medium,89.3,0.083939,warm,200
482,fetchdata,small,86.0,0.081082,warm,200
483,graphgen,small,41.2,0.00281,warm,200
484,grayscale,large,2834.5,2.716961,cold,200
485,resnet,medium,129.5,0.123704,warm,200
486,mobilenet,small,22.9,0.017696,warm,200
487,mobilenet,large,25.9,0.017499,warm,200
488,grayscale,large,2806.0,2.688592,cold,200
489,matrixmul,medium,560.9,0.544625,warm,200
490,pagerank,large,402.8,0.318276,warm,200
491,mobilenet,medium,28.9,0.023119,warm,200
492,fastfouriertransform,large,19.4,0.004924,warm,200
493,graphgen,medium,205.8,0.018475,warm,200
494,linpack,large,17.1,0.008018,warm,200
495,grayscale,small,18.6,0.010898,warm,200
496,fastfouriertransform,small,21.7,0.007703,warm,200
497,resnet,large,134.1,0.12592,warm,200
498,graphgen,large,859.8,0.063902,warm,200
499,grayscale,large,2848.9,2.734683,cold,200
500,graphgen,small,41.0,0.002809,warm,200
501,mobilenet,large,24.6,0.017546,warm,200
502,mobilenet,medium,26.0,0.017879,warm,200
503,fetchdata,large,157.6,0.151564,warm,200
504,matrixmul,large,27.9,0.00805,warm,200
505,mobilenet,small,29.6,0.0229,warm,200
506,mobilenet,medium,28.6,0.022612,warm,200
507,matrixmul,medium,524.8,0.509099,warm,200
508,linpack,large,16.9,0.008056,warm,200
509,fastfouriertransform,small,23.2,0.007714,warm,200
510,linpack,medium,655.2,0.646033,warm,200
511,mobilenet,medium,25.5,0.017564,warm,200
512,matrixmul,large,26.2,0.007891,warm,200
513,graphgen,medium,209.2,0.019751,warm,200
