function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
fast_fourier_transform,large,1.0,256,0.193513,.000263,614,712,706.657000,5.343000,342.700000,335.238800,7.461200,10
gen_int,small,1.0,256,0.000041,.000091,627,753,737.864000,15.136000,309.000000,297.448900,11.551100,10
gen_int,medium,1.0,256,0.000041,.000091,627,753,737.864000,15.136000,284.900000,277.011500,7.888500,10
gen_int,large,1.0,256,0.000043,.000091,627,753,737.864000,15.136000,293.600000,283.859900,9.740100,10
gen_list,small,1.0,256,0.000041,.193575,700,859,832.775000,26.225000,344.600000,337.504700,7.095300,10
gen_list,medium,1.0,256,0.000041,.193575,700,859,832.775000,26.225000,311.300000,297.937200,13.362800,10
gen_list,large,1.0,256,0.000042,.193576,700,859,832.775000,26.225000,353.300000,344.627100,8.672900,10
gen_matrix_a,small,1.0,256,0.000041,.023835,696,770,762.391000,7.609000,303.200000,292.883300,10.316700,10
gen_matrix_a,medium,1.0,256,0.000041,.100450,696,770,762.391000,7.609000,321.000000,312.756600,8.243400,10
gen_matrix_a,large,1.0,256,0.000042,.559056,696,770,762.391000,7.609000,334.200000,324.337400,9.862600,10
gen_matrix_b,small,1.0,256,0.000041,.023853,626,765,756.992000,8.008000,303.000000,294.732700,8.267300,10
gen_matrix_b,medium,1.0,256,0.000041,.100440,626,765,756.992000,8.008000,299.600000,288.121300,11.478700,10
gen_matrix_b,large,1.0,256,0.000042,.559138,626,765,756.992000,8.008000,365.300000,358.253900,7.046100,10
linpack,small,1.0,256,0.200836,.000098,457,645,640.005000,4.995000,321.500000,315.414200,6.085800,10
linpack,medium,1.0,256,0.200742,.000098,457,645,640.005000,4.995000,608.900000,311.233600,297.666400,10
linpack,large,1.0,256,0.200804,.000098,457,645,640.005000,4.995000,334.000000,328.083100,5.916900,10
matrix_multiplication,small,1.0,256,0.200836,.097340,665,783,775.391000,7.609000,325.200000,320.071400,5.128600,10
matrix_multiplication,medium,1.0,256,0.200742,.097317,665,783,775.391000,7.609000,549.300000,315.349400,233.950600,10
matrix_multiplication,large,1.0,256,0.200804,.097274,665,783,775.391000,7.609000,321.600000,314.378600,7.221400,10
sine,small,1.0,256,0.000028,.000106,604,510,509.887000,.113000,112.700000,112.498900,.201100,10
sine,medium,1.0,256,0.000031,.000107,604,510,509.887000,.113000,906.400000,112.472400,793.927600,10
sine,large,1.0,256,0.000028,.000106,604,510,509.887000,.113000,113.900000,113.713300,.186700,10
source,small,1.0,256,0.000044,.000105,629,586,585.96000,.04000,99.400000,99.361300,.038700,10
source,medium,1.0,256,0.000044,.000106,629,586,585.96000,.04000,107.400000,107.354400,.045600,10
source,large,1.0,256,0.000045,.000107,629,586,585.96000,.04000,122.800000,122.755600,.044400,10
aggregator,small,1.0,512,0.000924,.000969,629,487,486.96000,.04000,106.600000,106.542100,.057900,10
